"concept_id","cdm_name","cdm_table_name","coding_system","code"
COVID_19_DIAGNOSTIC,CONCEPTION,EVENTS,ICD10CM,U07.1
COVID_19_DIAGNOSTIC,CONCEPTION,EVENTS,MEDCODEID,288205019
